GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
1400000US06059001101,06059001101,"Census Tract 11.01, Orange County, California",4841,256,4117,331,0,12,53,63,463,147,208,157
1400000US06059001102,06059001102,"Census Tract 11.02, Orange County, California",3330,232,2487,306,0,12,20,21,449,167,374,135
1400000US06059001103,06059001103,"Census Tract 11.03, Orange County, California",4753,392,3823,509,0,12,0,12,468,183,462,201
1400000US06059001201,06059001201,"Census Tract 12.01, Orange County, California",5737,353,3481,317,0,17,28,37,386,127,1842,436
1400000US06059001202,06059001202,"Census Tract 12.02, Orange County, California",3777,289,2371,225,6,9,26,24,410,125,964,283
1400000US06059001301,06059001301,"Census Tract 13.01, Orange County, California",6758,390,4857,438,0,17,63,38,1305,321,533,333
1400000US06059001303,06059001303,"Census Tract 13.03, Orange County, California",5892,297,3967,362,0,17,42,33,860,157,1023,224
1400000US06059001304,06059001304,"Census Tract 13.04, Orange County, California",3827,346,2652,262,8,13,10,16,399,107,758,220
1400000US06059001401,06059001401,"Census Tract 14.01, Orange County, California",4869,395,3643,359,0,12,16,19,472,142,738,229
1400000US06059001402,06059001402,"Census Tract 14.02, Orange County, California",5228,354,3780,267,0,17,73,60,684,154,691,361
1400000US06059001403,06059001403,"Census Tract 14.03, Orange County, California",3195,199,2673,258,0,12,66,49,355,167,101,59
1400000US06059001404,06059001404,"Census Tract 14.04, Orange County, California",4124,385,2822,270,0,12,16,17,506,187,780,195
1400000US06059001501,06059001501,"Census Tract 15.01, Orange County, California",6139,395,4975,370,0,17,100,78,831,154,233,133
1400000US06059001503,06059001503,"Census Tract 15.03, Orange County, California",5726,364,4801,353,0,17,9,14,444,122,472,223
1400000US06059001504,06059001504,"Census Tract 15.04, Orange County, California",4570,340,3327,370,11,17,123,82,535,211,574,219
1400000US06059001505,06059001505,"Census Tract 15.05, Orange County, California",7011,381,5565,404,31,36,20,32,1193,246,202,146
1400000US06059001506,06059001506,"Census Tract 15.06, Orange County, California",4260,309,3319,314,0,12,50,40,791,129,100,56
1400000US06059001507,06059001507,"Census Tract 15.07, Orange County, California",4625,343,3736,358,0,12,46,29,454,158,389,155
1400000US06059001601,06059001601,"Census Tract 16.01, Orange County, California",8177,594,6205,465,0,17,88,52,1066,246,818,450
1400000US06059001602,06059001602,"Census Tract 16.02, Orange County, California",4929,218,3531,306,0,12,72,41,1026,249,300,143
1400000US06059001704,06059001704,"Census Tract 17.04, Orange County, California",7771,522,4192,426,24,39,236,139,2222,368,1097,325
1400000US06059001705,06059001705,"Census Tract 17.05, Orange County, California",4370,277,3089,232,10,15,69,53,659,146,543,176
1400000US06059001706,06059001706,"Census Tract 17.06, Orange County, California",3799,289,2615,272,25,27,20,21,930,264,209,108
1400000US06059001707,06059001707,"Census Tract 17.07, Orange County, California",7503,605,3975,520,0,17,16,25,2438,390,1074,395
1400000US06059001708,06059001708,"Census Tract 17.08, Orange County, California",3576,315,2270,306,0,12,63,37,800,141,443,198
1400000US06059001801,06059001801,"Census Tract 18.01, Orange County, California",5232,522,3403,378,0,17,55,34,585,187,1189,307
1400000US06059001802,06059001802,"Census Tract 18.02, Orange County, California",8230,814,5865,949,0,17,75,101,1013,400,1277,473
1400000US06059001901,06059001901,"Census Tract 19.01, Orange County, California",2776,204,2022,184,0,12,15,13,456,85,283,98
1400000US06059001902,06059001902,"Census Tract 19.02, Orange County, California",3029,210,1843,179,0,12,31,28,527,131,628,223
1400000US06059001903,06059001903,"Census Tract 19.03, Orange County, California",3612,258,2117,246,0,12,78,71,559,104,858,200
1400000US06059011000,06059011000,"Census Tract 110, Orange County, California",5888,513,4289,519,18,29,41,36,712,261,828,314
1400000US06059011101,06059011101,"Census Tract 111.01, Orange County, California",4504,283,2918,364,0,12,31,56,461,154,1094,353
1400000US06059011102,06059011102,"Census Tract 111.02, Orange County, California",4467,345,3209,288,17,20,12,19,808,159,421,159
1400000US06059011200,06059011200,"Census Tract 112, Orange County, California",3871,339,3016,231,0,12,41,51,510,137,304,213
1400000US06059011300,06059011300,"Census Tract 113, Orange County, California",5035,437,4294,469,52,83,110,92,243,115,336,235
1400000US06059011401,06059011401,"Census Tract 114.01, Orange County, California",1996,177,1653,178,4,7,16,13,160,48,163,86
1400000US06059011402,06059011402,"Census Tract 114.02, Orange County, California",2426,133,2116,152,6,8,21,16,208,65,75,56
