GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059001101,06059001101,"Census Tract 11.01, Orange County, California",87606,9432
1400000US06059001102,06059001102,"Census Tract 11.02, Orange County, California",89531,12147
1400000US06059001103,06059001103,"Census Tract 11.03, Orange County, California",58304,14729
1400000US06059001201,06059001201,"Census Tract 12.01, Orange County, California",58401,6371
1400000US06059001202,06059001202,"Census Tract 12.02, Orange County, California",66719,7972
1400000US06059001301,06059001301,"Census Tract 13.01, Orange County, California",77845,10750
1400000US06059001303,06059001303,"Census Tract 13.03, Orange County, California",77227,8072
1400000US06059001304,06059001304,"Census Tract 13.04, Orange County, California",61736,10191
1400000US06059001401,06059001401,"Census Tract 14.01, Orange County, California",61274,16334
1400000US06059001402,06059001402,"Census Tract 14.02, Orange County, California",74957,20074
1400000US06059001403,06059001403,"Census Tract 14.03, Orange County, California",99968,9638
1400000US06059001404,06059001404,"Census Tract 14.04, Orange County, California",61831,15700
1400000US06059001501,06059001501,"Census Tract 15.01, Orange County, California",89951,25272
1400000US06059001503,06059001503,"Census Tract 15.03, Orange County, California",81308,9504
1400000US06059001504,06059001504,"Census Tract 15.04, Orange County, California",76250,12646
1400000US06059001505,06059001505,"Census Tract 15.05, Orange County, California",104043,15248
1400000US06059001506,06059001506,"Census Tract 15.06, Orange County, California",68793,7346
1400000US06059001507,06059001507,"Census Tract 15.07, Orange County, California",77067,5589
1400000US06059001601,06059001601,"Census Tract 16.01, Orange County, California",94063,14001
1400000US06059001602,06059001602,"Census Tract 16.02, Orange County, California",114074,15881
1400000US06059001704,06059001704,"Census Tract 17.04, Orange County, California",105461,14495
1400000US06059001705,06059001705,"Census Tract 17.05, Orange County, California",81375,14259
1400000US06059001706,06059001706,"Census Tract 17.06, Orange County, California",120703,22877
1400000US06059001707,06059001707,"Census Tract 17.07, Orange County, California",110673,35720
1400000US06059001708,06059001708,"Census Tract 17.08, Orange County, California",77283,15016
1400000US06059001801,06059001801,"Census Tract 18.01, Orange County, California",51324,10359
1400000US06059001802,06059001802,"Census Tract 18.02, Orange County, California",48878,7814
1400000US06059001901,06059001901,"Census Tract 19.01, Orange County, California",77250,8462
1400000US06059001902,06059001902,"Census Tract 19.02, Orange County, California",86406,9228
1400000US06059001903,06059001903,"Census Tract 19.03, Orange County, California",65063,15381
1400000US06059011000,06059011000,"Census Tract 110, Orange County, California",65862,7379
1400000US06059011101,06059011101,"Census Tract 111.01, Orange County, California",56125,23694
1400000US06059011102,06059011102,"Census Tract 111.02, Orange County, California",71492,15689
1400000US06059011200,06059011200,"Census Tract 112, Orange County, California",69036,8457
1400000US06059011300,06059011300,"Census Tract 113, Orange County, California",74649,12351
1400000US06059011401,06059011401,"Census Tract 114.01, Orange County, California",77500,13705
1400000US06059011402,06059011402,"Census Tract 114.02, Orange County, California",111571,7647
1400000US06059011403,06059011403,"Census Tract 114.03, Orange County, California",59097,4728
